bed,bath,square,city,year_built,home_type,price
2,2.0,1000,Hoboken,2000,APARTMENT,3100
1,1.0,729,Hoboken,1901,APARTMENT,2395
1,1.0,775,Hoboken,1,APARTMENT,2600
1,1.0,733,Hoboken,1,CONDO,2600
2,2.0,900,Hoboken,2008,CONDO,2850
1,1.0,733,Hoboken,1,APARTMENT,2000
1,1.0,618,Hoboken,2005,APARTMENT,2195
0,1.0,200,Hoboken,1900,APARTMENT,1595
2,2.0,1120,Hoboken,1,CONDO,3600
1,1.0,733,Hoboken,0,None,2195
2,1.5,1006,Hoboken,0,None,2195
2,2.0,1260,Hoboken,1,APARTMENT,4400
3,2.0,1400,Hoboken,2001,APARTMENT,4050
1,1.0,780,Hoboken,1,APARTMENT,2800
2,1.5,1100,Hoboken,1,APARTMENT,4500
1,1.0,733,Hoboken,0,None,2050
2,1.5,815,Hoboken,1901,APARTMENT,2600
3,1.0,1100,Hoboken,1921,APARTMENT,3500
2,1.0,1000,Hoboken,1,CONDO,2800
2,1.0,650,Hoboken,1,MULTI_FAMILY,1975
1,1.0,600,Hoboken,1,APARTMENT,1850
3,2.0,1773,Hoboken,2008,APARTMENT,5600
1,1.0,900,Hoboken,1,APARTMENT,2575
2,1.5,1006,Hoboken,0,None,2750
0,1.0,640,Hoboken,1,APARTMENT,1900
1,1.0,530,Hoboken,1920,APARTMENT,2499
1,1.0,733,Hoboken,0,None,2400
1,1.0,2625,Hoboken,1901,APARTMENT,2250
2,2.0,1389,Hoboken,1,APARTMENT,3800
2,1.0,1100,Hoboken,2009,APARTMENT,3200
2,2.0,797,Hoboken,1901,APARTMENT,2650
3,2.0,1260,Hoboken,2002,APARTMENT,4000
0,1.0,640,Hoboken,1,MULTI_FAMILY,2200
1,1.0,800,Hoboken,1,APARTMENT,2200
2,1.5,1006,Hoboken,0,None,4150
2,1.0,1100,Hoboken,1,APARTMENT,3000
1,1.0,520,Hoboken,1,APARTMENT,2150
4,4.0,2500,Hoboken,1,APARTMENT,7500
4,4.0,1654,Hoboken,1,APARTMENT,7000
1,2.0,1250,Hoboken,1,APARTMENT,2695
1,1.0,800,Hoboken,1,APARTMENT,2900
3,2.0,1423,Hoboken,1,APARTMENT,4700
2,1.0,1015,Hoboken,1901,APARTMENT,3500
1,1.5,733,Hoboken,1,APARTMENT,2550
1,1.0,800,Hoboken,1,MULTI_FAMILY,2700
2,1.0,1006,Hoboken,1,APARTMENT,1900
1,1.0,500,Hoboken,1,MULTI_FAMILY,2400
3,2.0,1423,Hoboken,1,APARTMENT,4800
2,1.0,1006,Hoboken,1,MULTI_FAMILY,2650
0,1.0,800,Hoboken,0,None,1950
2,2.0,1002,Hoboken,0,None,3670
2,2.0,975,Hoboken,0,None,3635
2,2.0,935,Hoboken,0,None,3585
2,2.0,909,Hoboken,0,None,3575
2,2.0,900,Hoboken,0,None,3560
2,2.0,1210,Hoboken,0,None,4350
2,2.0,1167,Hoboken,0,None,4125
2,2.0,1124,Hoboken,0,None,4400
2,2.0,1174,Hoboken,0,None,3600
2,1.0,750,Hoboken,0,None,2700
2,2.0,974,Hoboken,0,None,2850
4,2.0,1300,Hoboken,0,None,4000
2,2.0,1261,Hoboken,0,None,4325
2,1.0,1006,Hoboken,0,None,2400
1,1.0,600,Hoboken,0,None,1550
0,1.0,550,Hoboken,0,None,1650
2,1.0,1006,Hoboken,0,None,2700
2,2.0,875,Hoboken,0,None,3525
2,1.0,1006,Hoboken,0,None,2300
2,1.0,800,Hoboken,0,None,2600
2,1.0,1006,Hoboken,0,None,2750
1,1.0,733,Hoboken,0,None,2100
2,1.0,546,Hoboken,0,None,2200
2,2.0,1300,Hoboken,0,None,3400
4,2.0,1654,Hoboken,0,None,6995
2,2.0,1006,Hoboken,1,APARTMENT,3700
1,1.0,700,Hoboken,1,APARTMENT,1850
1,1.0,953,Hoboken,1,APARTMENT,2369
2,1.0,1006,Hoboken,1,APARTMENT,2650
2,1.0,1006,Hoboken,1,APARTMENT,2650
2,1.0,585,Hoboken,1901,APARTMENT,2200
1,1.0,600,Hoboken,1,APARTMENT,2150
1,1.0,400,Hoboken,1,MULTI_FAMILY,2275
1,1.0,760,Hoboken,2017,APARTMENT,2600
2,2.0,1285,Hoboken,2011,CONDO,3750
2,1.0,1006,Hoboken,1,APARTMENT,2100
1,1.0,600,Hoboken,1920,APARTMENT,2150
0,1.0,575,Hoboken,1901,CONDO,2395
3,2.0,1310,Hoboken,2000,APARTMENT,4500
2,1.0,1006,Hoboken,1,APARTMENT,1990
1,1.0,733,Hoboken,1,APARTMENT,2200
2,1.0,1006,Hoboken,1,APARTMENT,1750
1,1.0,630,Hoboken,1900,APARTMENT,2369
2,1.0,635,Hoboken,1901,APARTMENT,2200
2,1.0,1000,Hoboken,1,APARTMENT,3100
1,1.0,550,Hoboken,1,APARTMENT,2050
1,1.0,800,Hoboken,1,APARTMENT,2800
2,1.0,980,Hoboken,1901,APARTMENT,2000
0,1.0,640,Hoboken,1,APARTMENT,2300
1,1.5,925,Hoboken,2014,CONDO,4200
3,2.0,1550,Hoboken,1,APARTMENT,5700
1,1.0,589,Hoboken,1,APARTMENT,1850
1,1.0,932,Hoboken,1,CONDO,3600
2,1.0,800,Hoboken,1,APARTMENT,1900
2,2.0,1555,Hoboken,1,APARTMENT,6100
2,2.0,1051,Hoboken,1,APARTMENT,3596
3,2.0,1585,Hoboken,1,APARTMENT,4999
2,1.0,1006,Hoboken,1,APARTMENT,2050
1,1.0,733,Hoboken,1,APARTMENT,2775
1,1.0,780,Hoboken,1,APARTMENT,2600
3,2.0,1550,Hoboken,1,APARTMENT,5600
1,1.0,733,Hoboken,1,APARTMENT,2700
2,2.0,1150,Hoboken,1,APARTMENT,3800
1,1.0,625,Hoboken,1901,APARTMENT,2700
2,1.0,1006,Hoboken,1,MULTI_FAMILY,2000
1,1.0,600,Hoboken,1921,APARTMENT,1800
4,2.0,1200,Hoboken,1,APARTMENT,4000
2,1.0,700,Hoboken,1,APARTMENT,2000
2,1.0,1006,Hoboken,1,APARTMENT,1650
2,1.5,1006,Hoboken,0,None,1995
1,1.0,850,Hoboken,1921,APARTMENT,1950
1,1.0,733,Hoboken,1,APARTMENT,2200
2,1.0,850,Hoboken,1,APARTMENT,2850
1,1.0,500,Hoboken,1901,APARTMENT,1950
2,1.5,1006,Hoboken,0,None,3000
1,1.0,500,Hoboken,1901,APARTMENT,1950
2,2.0,1200,Hoboken,1,APARTMENT,3600
1,1.0,700,Hoboken,1,APARTMENT,1795
2,1.5,1006,Hoboken,0,None,2800
1,1.0,500,Hoboken,1,APARTMENT,1750
2,2.0,1100,Hoboken,1,APARTMENT,4000
2,2.0,1132,Hoboken,1,APARTMENT,2750
1,1.0,780,Hoboken,1,APARTMENT,2800
3,2.0,1150,Hoboken,1932,APARTMENT,3990
1,1.0,551,Hoboken,2009,APARTMENT,2100
1,1.0,790,Hoboken,1900,CONDO,2150
2,1.0,650,Hoboken,1999,MULTI_FAMILY,2500
2,1.0,1006,Hoboken,1,APARTMENT,2050
2,1.0,681,Hoboken,1901,APARTMENT,2600
2,2.0,1400,Hoboken,1,CONDO,3500
1,1.0,500,Hoboken,1,CONDO,2050
1,1.0,600,Hoboken,1,APARTMENT,1750
1,1.0,529,Hoboken,1,CONDO,2600
1,1.0,700,Hoboken,1973,APARTMENT,1750
3,1.0,1000,Hoboken,1,APARTMENT,2100
2,1.0,850,Hoboken,1910,APARTMENT,2850
1,1.0,600,Hoboken,1,MULTI_FAMILY,2600
1,1.5,966,Hoboken,2006,CONDO,4400
2,1.0,850,Hoboken,1,APARTMENT,2895
1,1.0,733,Hoboken,1,APARTMENT,1700
2,1.0,1006,Hoboken,1,APARTMENT,2700
2,1.0,1006,Hoboken,1,APARTMENT,2750
2,2.0,1006,Hoboken,1,APARTMENT,2600
1,1.0,600,Hoboken,1,APARTMENT,1700
1,1.0,733,Hoboken,0,None,2443
3,1.5,1423,Hoboken,0,None,3428
2,1.0,1006,Hoboken,1,APARTMENT,2700
2,1.0,1006,Hoboken,1,APARTMENT,2600
3,1.0,1423,Hoboken,1900,APARTMENT,2900
2,1.0,1006,Hoboken,1,APARTMENT,2650
1,1.0,500,Hoboken,1901,APARTMENT,1750
2,2.0,825,Hoboken,1,APARTMENT,3130
1,1.0,733,Hoboken,1,APARTMENT,3000
1,1.0,900,Hoboken,1901,APARTMENT,1800
0,1.0,640,Hoboken,1,APARTMENT,2600
3,2.0,1423,Hoboken,1,APARTMENT,5800
2,1.0,700,Hoboken,1,APARTMENT,2500
2,2.0,1006,Hoboken,1,APARTMENT,3350
1,1.0,550,Hoboken,1901,APARTMENT,1550
1,1.0,733,Hoboken,1901,APARTMENT,2550
1,1.0,750,Hoboken,1889,APARTMENT,2100
2,1.5,1024,Hoboken,1920,CONDO,3345
3,1.0,750,Hoboken,1,APARTMENT,2800
1,1.0,550,Hoboken,1901,APARTMENT,1950
4,3.5,2800,Hoboken,1901,TOWNHOUSE,7495
1,1.0,475,Hoboken,1901,APARTMENT,2250
2,1.0,1006,Hoboken,1,APARTMENT,1950
2,1.0,910,Hoboken,1,APARTMENT,2700
2,1.5,1006,Hoboken,0,None,3100
3,1.5,1423,Hoboken,0,None,4350
2,1.0,803,Hoboken,1901,APARTMENT,2150
2,2.0,1064,Hoboken,2013,APARTMENT,2900
1,1.0,600,Hoboken,1,APARTMENT,1645
0,1.0,640,Hoboken,1,APARTMENT,1800
2,1.0,910,Hoboken,1,APARTMENT,2700
2,2.0,1100,Hoboken,1,APARTMENT,2800
2,2.0,1298,Hoboken,1,APARTMENT,3700
2,1.5,1006,Hoboken,0,None,1795
1,1.0,600,Hoboken,1,APARTMENT,2300
2,2.0,1155,Hoboken,2000,CONDO,3900
1,1.0,600,Hoboken,1,CONDO,2050
2,2.0,1120,Hoboken,1985,APARTMENT,3400
1,1.0,660,Hoboken,1905,CONDO,2200
1,1.0,700,Hoboken,1,APARTMENT,1800
1,1.0,800,Hoboken,1,APARTMENT,2900
2,2.0,1006,Hoboken,1,APARTMENT,4000
3,1.0,1123,Hoboken,1,APARTMENT,3300
3,1.0,1400,Hoboken,1,APARTMENT,2900
3,1.0,1300,Hoboken,1,APARTMENT,3200
1,1.0,576,Hoboken,1901,APARTMENT,2550
0,1.0,600,Hoboken,1,APARTMENT,2400
2,1.0,1006,Hoboken,1,APARTMENT,2100
2,2.0,1000,Hoboken,2005,APARTMENT,3500
1,1.0,550,Hoboken,1,APARTMENT,2150
1,1.0,735,Hoboken,1916,APARTMENT,2695
1,1.0,600,Hoboken,1,APARTMENT,2150
2,1.0,850,Hoboken,2006,APARTMENT,2000
1,1.0,733,Hoboken,2000,APARTMENT,2150
1,1.0,600,Hoboken,1901,APARTMENT,2000
1,1.0,733,Hoboken,1,MULTI_FAMILY,2300
1,1.0,733,Hoboken,0,None,2100
2,1.5,1006,Hoboken,0,None,2175
1,1.0,654,Hoboken,1910,APARTMENT,2200
3,1.0,600,Hoboken,1,APARTMENT,2790
3,2.0,1423,Hoboken,1,APARTMENT,4700
0,1.0,500,Hoboken,1,APARTMENT,1750
2,1.0,800,Hoboken,1,APARTMENT,2300
2,2.0,1150,Hoboken,1,APARTMENT,3400
3,3.0,1750,Hoboken,1,APARTMENT,3950
1,1.0,733,Hoboken,1,APARTMENT,2200
1,1.0,554,Hoboken,1987,APARTMENT,2200
2,2.0,1006,Hoboken,1,APARTMENT,2900
1,1.0,733,Hoboken,0,None,1775
2,1.0,815,Hoboken,1901,MULTI_FAMILY,2650
0,1.0,640,Hoboken,0,None,2800
2,1.5,1006,Hoboken,0,None,4150
1,1.0,700,Hoboken,2002,APARTMENT,2650
2,1.0,930,Hoboken,2004,MULTI_FAMILY,3200
1,1.0,733,Hoboken,0,None,2200
2,2.0,1050,Hoboken,0,None,3450
2,1.0,1006,Hoboken,0,None,2850
1,1.0,750,Hoboken,0,None,1850
2,1.5,1006,Hoboken,0,None,7500
3,1.5,1423,Hoboken,0,None,13000
1,1.0,733,Hoboken,0,None,1850
2,1.5,1006,Hoboken,0,None,2500
2,1.0,1006,Hoboken,0,None,2400
2,1.0,815,Hoboken,0,None,2600
3,2.0,1800,Hoboken,0,None,4800
2,1.0,1006,Hoboken,0,None,2450
1,1.0,512,Hoboken,0,None,1750
1,1.0,550,Hoboken,0,None,1950
2,1.5,835,Hoboken,0,None,2800
2,2.0,1400,Hoboken,0,None,3400
4,2.0,1654,Hoboken,0,None,4950
2,1.0,750,Hoboken,0,None,2300
1,1.0,733,Hoboken,0,None,1950
1,1.0,900,Hoboken,0,None,2400
1,1.0,603,Hoboken,0,None,2050
4,2.0,1350,Hoboken,0,None,3300
2,2.0,1175,Hoboken,0,None,3575
0,1.0,500,Hoboken,0,None,1800
1,1.0,733,Hoboken,0,None,2400
2,1.0,1100,Hoboken,1,APARTMENT,2175
2,1.0,1000,Hoboken,1,APARTMENT,2700
2,2.0,1100,Hoboken,2007,APARTMENT,3000
2,1.0,1006,Hoboken,1,APARTMENT,2150
4,1.5,1200,Hoboken,1,APARTMENT,3550
1,1.0,733,Hoboken,1,APARTMENT,1900
3,2.0,1423,Hoboken,1,APARTMENT,4400
2,1.0,900,Hoboken,1901,MULTI_FAMILY,2200
2,1.0,800,Hoboken,1,APARTMENT,1800
1,1.0,625,Hoboken,1920,APARTMENT,2200
2,1.5,1006,Hoboken,0,None,1800
1,1.0,900,Hoboken,2013,APARTMENT,2800
2,1.0,850,Hoboken,0,None,2000
1,1.0,869,Hoboken,1900,APARTMENT,2550
1,1.0,546,Hoboken,1910,APARTMENT,2100
1,1.0,733,Hoboken,0,None,2100
2,1.5,1006,Hoboken,0,None,2750
1,1.0,600,Hoboken,1901,APARTMENT,1800
1,1.0,733,Hoboken,0,None,1950
2,1.5,1006,Hoboken,0,None,2400
3,1.5,1423,Hoboken,0,None,2900
4,2.0,1654,Hoboken,0,None,3600
3,3.0,2341,Hoboken,2006,CONDO,6700
1,1.0,550,Hoboken,1,APARTMENT,1975
2,1.0,1006,Hoboken,1,APARTMENT,2650
1,1.0,709,Hoboken,1,APARTMENT,3400
3,1.5,2580,Hoboken,1967,APARTMENT,3500
2,1.0,700,Hoboken,1,APARTMENT,2775
2,2.0,1122,Hoboken,1,APARTMENT,4400
3,2.0,1410,Hoboken,1,APARTMENT,5675
3,2.0,1410,Hoboken,1,APARTMENT,5675
1,1.0,850,Hoboken,2006,APARTMENT,2675
1,1.0,454,Hoboken,1910,APARTMENT,2200
2,1.0,1006,Hoboken,1,APARTMENT,2400
2,1.0,1006,Hoboken,1,APARTMENT,2700
2,2.0,1490,Hoboken,2001,APARTMENT,3495
2,2.0,1200,Hoboken,1,APARTMENT,2900
2,2.0,1200,Hoboken,1,APARTMENT,2800
3,1.0,1600,Hoboken,1,APARTMENT,3200
1,1.0,733,Hoboken,0,None,1920
2,1.5,1006,Hoboken,0,None,2400
3,1.5,1423,Hoboken,0,None,2950
3,1.0,1150,Hoboken,1,APARTMENT,3300
3,1.0,1100,Hoboken,1,APARTMENT,3000
2,2.0,875,Hoboken,1,APARTMENT,3515
2,2.0,1150,Hoboken,1,APARTMENT,3950
1,1.0,733,Hoboken,0,None,2600
2,1.5,1006,Hoboken,0,None,3175
1,1.0,733,Hoboken,0,None,1920
2,1.5,1006,Hoboken,0,None,2500
3,1.5,1423,Hoboken,0,None,3100
4,2.0,1654,Hoboken,0,None,3550
2,2.0,1150,Hoboken,1,APARTMENT,3500
2,2.0,1100,Hoboken,1,APARTMENT,3500
1,1.0,500,Hoboken,1901,APARTMENT,1850
3,1.0,900,Hoboken,1,APARTMENT,2800
3,2.0,1675,Hoboken,1,APARTMENT,6150
3,2.0,1800,Hoboken,1,APARTMENT,4600
1,2.0,1037,Hoboken,2010,CONDO,3600
1,1.0,733,Hoboken,0,None,1950
2,1.5,1006,Hoboken,0,None,2500
3,1.5,1423,Hoboken,0,None,3100
4,2.0,1654,Hoboken,0,None,3600
2,1.0,812,Hoboken,1910,CONDO,3000
2,2.0,1006,Hoboken,1,APARTMENT,3400
3,3.5,1990,Hoboken,1892,SINGLE_FAMILY,7250
3,1.0,1423,Hoboken,1,APARTMENT,2900
1,1.0,824,Hoboken,1,APARTMENT,3600
3,2.0,1423,Hoboken,1,APARTMENT,4300
1,1.0,553,Hoboken,1,APARTMENT,2150
1,1.0,824,Hoboken,1,APARTMENT,3600
2,2.0,875,Hoboken,1,APARTMENT,3505
1,2.0,821,Hoboken,1901,APARTMENT,2600
1,1.0,943,Hoboken,1920,MULTI_FAMILY,2750
3,2.0,1700,Hoboken,1,APARTMENT,4995
3,1.0,1423,Hoboken,1,APARTMENT,3000
1,1.0,650,Hoboken,1,APARTMENT,2150
2,2.0,875,Hoboken,1,APARTMENT,3505
2,1.0,698,Hoboken,1,APARTMENT,2790
2,2.0,1075,Hoboken,1,APARTMENT,3300
2,2.0,1000,Hoboken,1,MULTI_FAMILY,2900
1,1.0,733,Hoboken,1,APARTMENT,2800
1,1.0,830,Hoboken,1920,CONDO,3000
4,3.0,2222,Hoboken,1900,APARTMENT,8150
3,1.0,1423,Hoboken,1,APARTMENT,2950
2,1.0,1006,Hoboken,1,MULTI_FAMILY,2200
3,2.0,700,Hoboken,1,APARTMENT,3150
2,3.0,1500,Hoboken,1901,SINGLE_FAMILY,4000
1,1.0,733,Jersey City,0,None,2150
2,1.5,1006,Jersey City,0,None,2350
1,1.0,700,Hoboken,1901,CONDO,2800
3,1.5,1500,Jersey City,0,None,2299
3,1.5,1500,Jersey City,0,None,2299
3,1.5,1500,Jersey City,0,None,2299
0,1.0,640,Jersey City,0,None,2415
1,1.0,733,Jersey City,0,None,2503
2,1.5,1006,Jersey City,0,None,2922
3,1.5,1423,Jersey City,0,None,4677
3,1.5,1500,Jersey City,0,None,2299
