bed,bath,square,city,price,year_built,home_type
2.0,2.0,952.0,HOBOKEN,3195.0,,
3.0,1.5,3000.0,HOBOKEN,3500.0,,
1.0,1.0,1200.0,Hoboken,1995.0,,
4.0,2.0,1200.0,Hoboken,4000.0,1,APARTMENT
2.0,1.0,700.0,Hoboken,2000.0,1,APARTMENT
2.0,1.0,976,Hoboken,1650.0,1,APARTMENT
1.0,1.0,850.0,Hoboken,1950.0,1921,APARTMENT
2.0,1.0,850.0,Hoboken,2850.0,1,APARTMENT
3.0,1.0,980.0,Hoboken,3400.0,1,APARTMENT
1.0,1.0,500.0,HOBOKEN,2100.0,1901,APARTMENT
1.0,1.0,929,Hoboken,1750.0,,
3.0,2.0,1150.0,Hoboken,3995.0,1932,APARTMENT
2.0,1.0,800.0,Hoboken,2490.0,,
1.0,1.0,610.0,HOBOKEN,2500.0,,
0.0,1,1095,None,1715.0,,
2.0,1.0,728.0,Hoboken,2600.0,1,APARTMENT
1.0,1.0,700.0,Hoboken,1795.0,1,APARTMENT
1.0,1.0,500.0,Hoboken,1750.0,1,APARTMENT
2.0,2.0,1100.0,Hoboken,4000.0,1,APARTMENT
1.0,1.0,780.0,Hoboken,2800.0,1,APARTMENT
2.0,2.0,1200.0,Hoboken,3500.0,1,APARTMENT
1.0,1.0,790.0,Hoboken,2150.0,1900,CONDO
2.0,2.0,1200.0,Hoboken,3600.0,1,APARTMENT
2.0,2.0,1132.0,Hoboken,2750.0,1,APARTMENT
1.0,2.0,1130.0,Hoboken,3000.0,,
2.0,2.0,705,Hoboken,3500.0,,
2.0,1.0,650.0,HOBOKEN,2500.0,1999,MULTI_FAMILY
1.0,1.0,581.0,Hoboken,1800.0,1,APARTMENT
2.0,1,1095,None,2650.0,,
1.0,1.0,550.0,Hoboken,1800.0,1,APARTMENT
2.0,2.0,1150.0,Hoboken,3350.0,,
2.0,1.0,681.0,HOBOKEN,2650.0,1901,APARTMENT
0.0,1,1095,None,1800.0,,
2.0,2.0,1400.0,Hoboken,3500.0,1,CONDO
2.0,1.0,1044.0,HOBOKEN,3200.0,2009,APARTMENT
2.0,1.0,786,Hoboken,2050.0,1,APARTMENT
1.0,1.0,600.0,Hoboken,2600.0,1,MULTI_FAMILY
3.0,1.0,1000.0,Hoboken,2100.0,,
1.0,1.0,529.0,Hoboken,2600.0,1,CONDO
1.0,1.0,600.0,Hoboken,1700.0,1,APARTMENT
1.0,1.5,966.0,Hoboken,4400.0,2006,CONDO
1.0,1.0,551.0,Hoboken,2100.0,2009,APARTMENT
2.0,1.0,850.0,Hoboken,2895.0,1910,APARTMENT
2.0,1.0,850.0,Hoboken,2895.0,1,APARTMENT
2.0,1.0,1050,Hoboken,2750.0,1,APARTMENT
2.0,1.0,992,Hoboken,2700.0,1,APARTMENT
2.0,2.0,733,Hoboken,2600.0,1,APARTMENT
1.0,1.0,1052,Hoboken,1750.0,1,APARTMENT
