zpid, address, city, state, postal_code, price, info, location, property_url, title, lat, lng
2086351144,223 Monroe St # 2,Hoboken,NJ,07030,$2500/mo,2 bds  1 ba  800 sqft,223 Monroe St # 2 Hoboken NJ,https://www.zillow.com/homedetails/223-Monroe-St-2-Hoboken-NJ-07030/2086351144_zpid/,Apartment for rent,40741099,-74039161
2086355165,321 Grand St,Hoboken,NJ,07030,$2150/mo,2 bds  1 ba  -- sqft,321 Grand St Hoboken NJ,https://www.zillow.com/homedetails/321-Grand-St-Hoboken-NJ-07030/2086355165_zpid/,Apartment for rent,40741669,-74035076
2086357116,Willow Ave,Hoboken,NJ,07030,$3550/mo,4 bds  1.5 ba  1200 sqft,Willow Ave Hoboken NJ,https://www.zillow.com/homedetails/Willow-Ave-Hoboken-NJ-07030/2086357116_zpid/,Apartment for rent,40744100,-74032660
2086727351,Jackson St,Hoboken,NJ,07030,$4400/mo,3 bds  2 ba  -- sqft,Jackson St Hoboken NJ,https://www.zillow.com/homedetails/Jackson-St-Hoboken-NJ-07030/2086727351_zpid/,Apartment for rent,40736420,-74041860
2086364134,12th St,Hoboken,NJ,07030,$1900/mo,1 bd  1 ba  -- sqft,12th St Hoboken NJ,https://www.zillow.com/homedetails/12th-St-Hoboken-NJ-07030/2086364134_zpid/,Apartment for rent,40749890,-74027090
2103557178,307 2nd St # 3,Hoboken,NJ,07030,$2200/mo,2 bds  1 ba  900 sqft,307 2nd St # 3 Hoboken NJ,https://www.zillow.com/homedetails/307-2nd-St-3-Hoboken-NJ-07030/2103557178_zpid/,Apartment for rent,40739329,-74034570
2107678654,Newark St,Hoboken,NJ,07030,$2800/mo,1 bd  1 ba  900 sqft,Newark St Hoboken NJ,https://www.zillow.com/homedetails/Newark-St-Hoboken-NJ-07030/2107678654_zpid/,Apartment for rent,40736420,-74041860
2089108413,603 Harrison St,Hoboken,NJ,07030,$2650/mo,1 bd  1 ba  760 sqft,603 Harrison St Hoboken NJ,https://www.zillow.com/homedetails/603-Harrison-St-Hoboken-NJ-07030/2089108413_zpid/,Apartment for rent,40746500,-74039500
1001574409,None,None,None,None,None,1 $2150+,415 Jackson St Hoboken NJ,https://www.zillow.com/b/415-Jackson-St-Hoboken-NJ/40.743565-74.039402_ll/,For Rent,40743565,-74039402
38883887,818 Jefferson St APT 3E,HOBOKEN,NJ,07030,$2300/mo,1 bd  1 ba  625 sqft,818 Jefferson St APT 3E Hoboken NJ,https://www.zillow.com/homedetails/818-Jefferson-St-APT-3E-Hoboken-NJ-07030/38883887_zpid/,Apartment for rent,40747987,-74035676
40.742564--74.039332,None,None,None,None,None,2 $1850+,324 Monroe St Hoboken NJ,https://www.zillow.com/b/324-Monroe-St-Hoboken-NJ/40.742564-74.039332_ll/,For Rent,40742564,-74039332
38886967,77 River St,HOBOKEN,NJ,07030,$2600/mo,1 bd  1 ba  869 sqft,77 River St Hoboken NJ,https://www.zillow.com/homedetails/77-River-St-Hoboken-NJ-07030/38886967_zpid/,Apartment for rent,40736208,-74028932
72242635,204 Willow Ave APT 3R,HOBOKEN,NJ,07030,$2100/mo,1 bd  1 ba  546 sqft,204 Willow Ave APT 3R Hoboken NJ,https://www.zillow.com/homedetails/204-Willow-Ave-APT-3R-Hoboken-NJ-07030/72242635_zpid/,Apartment for rent,40739621,-74034257
2086700121,14th St,Hoboken,NJ,07030,$2775/mo,2 bds  1 ba  700 sqft,14th St Hoboken NJ,https://www.zillow.com/homedetails/14th-St-Hoboken-NJ-07030/2086700121_zpid/,Apartment for rent,40752830,-74029050
82170886,611 Monroe St # 2,HOBOKEN,NJ,07030,$6700/mo,3 bds  3 ba  2341 sqft,611 Monroe St # 2 Hoboken NJ,https://www.zillow.com/homedetails/611-Monroe-St-2-Hoboken-NJ-07030/82170886_zpid/,Condo for rent,40745482,-74037846
2086447794,61 12th St # 1A,Hoboken,NJ,07030,$1900/mo,1 bd  1 ba  -- sqft,61 12th St # 1A Hoboken NJ,https://www.zillow.com/homedetails/61-12th-St-1A-Hoboken-NJ-07030/2086447794_zpid/,Apartment for rent,40750871,-74026277
2092508710,231 Willow Ave APT 2L,Hoboken,NJ,07030,$1975/mo,1 bd  1 ba  550 sqft,231 Willow Ave APT 2L Hoboken NJ,https://www.zillow.com/homedetails/231-Willow-Ave-APT-2L-Hoboken-NJ-07030/2092508710_zpid/,Apartment for rent,40740432,-74033540
38885125,637 Park Ave,HOBOKEN,NJ,07030,$3500/mo,3 bds  1.5 ba  2580 sqft,637 Park Ave Hoboken NJ,https://www.zillow.com/homedetails/637-Park-Ave-Hoboken-NJ-07030/38885125_zpid/,Apartment for rent,40745082,-74031127
