2019-03-06T15:50:54.836-0500 I NETWORK  [conn17] received client metadata from 127.0.0.1:57089 conn17: { driver: { name: "mongo-java-driver", version: "unknown" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "10.14.3" }, platform: "Java/JetBrains s.r.o/1.8.0_152-release-1343-b28" }
2019-03-06T15:50:54.853-0500 I NETWORK  [conn17] end connection 127.0.0.1:57089 (2 connections now open)
2019-03-06T15:50:54.853-0500 I NETWORK  [conn16] end connection 127.0.0.1:57088 (1 connection now open)
2019-03-06T15:50:55.131-0500 I NETWORK  [listener] connection accepted from 127.0.0.1:57090 #18 (2 connections now open)
2019-03-06T15:50:55.133-0500 I NETWORK  [conn18] received client metadata from 127.0.0.1:57090 conn18: { driver: { name: "mongo-java-driver", version: "unknown" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "10.14.3" }, platform: "Java/JetBrains s.r.o/1.8.0_152-release-1343-b28" }
2019-03-06T15:50:55.140-0500 I NETWORK  [listener] connection accepted from 127.0.0.1:57091 #19 (3 connections now open)
2019-03-06T15:50:55.144-0500 I NETWORK  [conn19] received client metadata from 127.0.0.1:57091 conn19: { driver: { name: "mongo-java-driver", version: "unknown" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "10.14.3" }, platform: "Java/JetBrains s.r.o/1.8.0_152-release-1343-b28" }
2019-03-06T15:50:55.156-0500 I NETWORK  [conn19] end connection 127.0.0.1:57091 (2 connections now open)
2019-03-06T15:50:55.160-0500 I NETWORK  [conn18] end connection 127.0.0.1:57090 (1 connection now open)
2019-03-06T15:51:53.718-0500 I NETWORK  [listener] connection accepted from 127.0.0.1:57095 #20 (2 connections now open)
2019-03-06T15:51:53.720-0500 I NETWORK  [conn20] received client metadata from 127.0.0.1:57095 conn20: { driver: { name: "mongo-java-driver", version: "unknown" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "10.14.3" }, platform: "Java/JetBrains s.r.o/1.8.0_152-release-1343-b28" }
2019-03-06T15:51:53.730-0500 I NETWORK  [listener] connection accepted from 127.0.0.1:57096 #21 (3 connections now open)
2019-03-06T15:51:53.735-0500 I NETWORK  [conn21] received client metadata from 127.0.0.1:57096 conn21: { driver: { name: "mongo-java-driver", version: "unknown" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "10.14.3" }, platform: "Java/JetBrains s.r.o/1.8.0_152-release-1343-b28" }
2019-03-06T15:51:53.741-0500 I NETWORK  [conn21] end connection 127.0.0.1:57096 (2 connections now open)
2019-03-06T15:51:53.741-0500 I NETWORK  [conn20] end connection 127.0.0.1:57095 (1 connection now open)
2019-03-06T15:51:53.743-0500 I NETWORK  [listener] connection accepted from 127.0.0.1:57097 #22 (2 connections now open)
2019-03-06T15:51:53.744-0500 I NETWORK  [conn22] received client metadata from 127.0.0.1:57097 conn22: { driver: { name: "mongo-java-driver", version: "unknown" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "10.14.3" }, platform: "Java/JetBrains s.r.o/1.8.0_152-release-1343-b28" }
2019-03-06T15:51:53.748-0500 I NETWORK  [listener] connection accepted from 127.0.0.1:57098 #23 (3 connections now open)
2019-03-06T15:51:53.749-0500 I NETWORK  [conn23] received client metadata from 127.0.0.1:57098 conn23: { driver: { name: "mongo-java-driver", version: "unknown" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "10.14.3" }, platform: "Java/JetBrains s.r.o/1.8.0_152-release-1343-b28" }
2019-03-06T15:51:53.752-0500 I NETWORK  [conn23] end connection 127.0.0.1:57098 (2 connections now open)
2019-03-06T15:51:53.752-0500 I NETWORK  [conn22] end connection 127.0.0.1:57097 (1 connection now open)
2019-03-06T15:51:58.202-0500 I NETWORK  [listener] connection accepted from 127.0.0.1:57100 #24 (2 connections now open)
2019-03-06T15:51:58.205-0500 I NETWORK  [conn24] received client metadata from 127.0.0.1:57100 conn24: { driver: { name: "mongo-java-driver", version: "unknown" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "10.14.3" }, platform: "Java/JetBrains s.r.o/1.8.0_152-release-1343-b28" }
2019-03-06T15:51:58.211-0500 I NETWORK  [listener] connection accepted from 127.0.0.1:57101 #25 (3 connections now open)
2019-03-06T15:51:58.214-0500 I NETWORK  [conn25] received client metadata from 127.0.0.1:57101 conn25: { driver: { name: "mongo-java-driver", version: "unknown" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "10.14.3" }, platform: "Java/JetBrains s.r.o/1.8.0_152-release-1343-b28" }
2019-03-06T15:51:58.224-0500 I NETWORK  [conn25] end connection 127.0.0.1:57101 (2 connections now open)
2019-03-06T15:51:58.224-0500 I NETWORK  [conn24] end connection 127.0.0.1:57100 (1 connection now open)
2019-03-06T15:51:58.629-0500 I NETWORK  [listener] connection accepted from 127.0.0.1:57102 #26 (2 connections now open)
2019-03-06T15:51:58.631-0500 I NETWORK  [conn26] received client metadata from 127.0.0.1:57102 conn26: { driver: { name: "mongo-java-driver", version: "unknown" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "10.14.3" }, platform: "Java/JetBrains s.r.o/1.8.0_152-release-1343-b28" }
2019-03-06T15:51:58.637-0500 I NETWORK  [listener] connection accepted from 127.0.0.1:57103 #27 (3 connections now open)
2019-03-06T15:51:58.639-0500 I NETWORK  [conn27] received client metadata from 127.0.0.1:57103 conn27: { driver: { name: "mongo-java-driver", version: "unknown" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "10.14.3" }, platform: "Java/JetBrains s.r.o/1.8.0_152-release-1343-b28" }
2019-03-06T15:51:58.648-0500 I NETWORK  [conn27] end connection 127.0.0.1:57103 (2 connections now open)
2019-03-06T15:51:58.651-0500 I NETWORK  [conn26] end connection 127.0.0.1:57102 (1 connection now open)
2019-03-06T16:00:14.092-0500 I NETWORK  [listener] connection accepted from 127.0.0.1:57181 #28 (2 connections now open)
2019-03-06T16:00:14.093-0500 I NETWORK  [conn28] received client metadata from 127.0.0.1:57181 conn28: { driver: { name: "mongo-java-driver", version: "unknown" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "10.14.3" }, platform: "Java/JetBrains s.r.o/1.8.0_152-release-1343-b28" }
2019-03-06T16:00:14.097-0500 I NETWORK  [listener] connection accepted from 127.0.0.1:57182 #29 (3 connections now open)
2019-03-06T16:00:14.098-0500 I NETWORK  [conn29] received client metadata from 127.0.0.1:57182 conn29: { driver: { name: "mongo-java-driver", version: "unknown" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "10.14.3" }, platform: "Java/JetBrains s.r.o/1.8.0_152-release-1343-b28" }
2019-03-06T16:00:14.103-0500 I NETWORK  [conn29] end connection 127.0.0.1:57182 (2 connections now open)
2019-03-06T16:00:14.103-0500 I NETWORK  [conn28] end connection 127.0.0.1:57181 (1 connection now open)
2019-03-06T16:00:16.423-0500 I NETWORK  [listener] connection accepted from 127.0.0.1:57183 #30 (2 connections now open)
2019-03-06T16:00:16.427-0500 I NETWORK  [conn30] received client metadata from 127.0.0.1:57183 conn30: { driver: { name: "mongo-java-driver", version: "unknown" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "10.14.3" }, platform: "Java/JetBrains s.r.o/1.8.0_152-release-1343-b28" }
2019-03-06T16:00:16.430-0500 I NETWORK  [listener] connection accepted from 127.0.0.1:57184 #31 (3 connections now open)
2019-03-06T16:00:16.431-0500 I NETWORK  [conn31] received client metadata from 127.0.0.1:57184 conn31: { driver: { name: "mongo-java-driver", version: "unknown" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "10.14.3" }, platform: "Java/JetBrains s.r.o/1.8.0_152-release-1343-b28" }
2019-03-06T16:00:16.437-0500 I NETWORK  [conn31] end connection 127.0.0.1:57184 (2 connections now open)
2019-03-06T16:00:16.437-0500 I NETWORK  [conn30] end connection 127.0.0.1:57183 (1 connection now open)
2019-03-06T16:00:16.771-0500 I NETWORK  [listener] connection accepted from 127.0.0.1:57185 #32 (2 connections now open)
2019-03-06T16:00:16.773-0500 I NETWORK  [conn32] received client metadata from 127.0.0.1:57185 conn32: { driver: { name: "mongo-java-driver", version: "unknown" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "10.14.3" }, platform: "Java/JetBrains s.r.o/1.8.0_152-release-1343-b28" }
2019-03-06T16:00:16.779-0500 I NETWORK  [listener] connection accepted from 127.0.0.1:57186 #33 (3 connections now open)
2019-03-06T16:00:16.781-0500 I NETWORK  [conn33] received client metadata from 127.0.0.1:57186 conn33: { driver: { name: "mongo-java-driver", version: "unknown" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "10.14.3" }, platform: "Java/JetBrains s.r.o/1.8.0_152-release-1343-b28" }
2019-03-06T16:00:16.800-0500 I NETWORK  [conn33] end connection 127.0.0.1:57186 (2 connections now open)
2019-03-06T16:00:16.802-0500 I NETWORK  [conn32] end connection 127.0.0.1:57185 (1 connection now open)
2019-03-06T16:02:57.258-0500 I NETWORK  [listener] connection accepted from 127.0.0.1:57196 #34 (2 connections now open)
2019-03-06T16:02:57.261-0500 I NETWORK  [conn34] received client metadata from 127.0.0.1:57196 conn34: { driver: { name: "mongo-java-driver", version: "unknown" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "10.14.3" }, platform: "Java/JetBrains s.r.o/1.8.0_152-release-1343-b28" }
2019-03-06T16:02:57.266-0500 I NETWORK  [listener] connection accepted from 127.0.0.1:57197 #35 (3 connections now open)
2019-03-06T16:02:57.269-0500 I NETWORK  [conn35] received client metadata from 127.0.0.1:57197 conn35: { driver: { name: "mongo-java-driver", version: "unknown" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "10.14.3" }, platform: "Java/JetBrains s.r.o/1.8.0_152-release-1343-b28" }
2019-03-06T16:02:57.274-0500 I NETWORK  [conn35] end connection 127.0.0.1:57197 (2 connections now open)
2019-03-06T16:02:57.276-0500 I NETWORK  [conn34] end connection 127.0.0.1:57196 (1 connection now open)
2019-03-06T16:02:57.879-0500 I NETWORK  [listener] connection accepted from 127.0.0.1:57198 #36 (2 connections now open)
2019-03-06T16:02:57.880-0500 I NETWORK  [conn36] received client metadata from 127.0.0.1:57198 conn36: { driver: { name: "mongo-java-driver", version: "unknown" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "10.14.3" }, platform: "Java/JetBrains s.r.o/1.8.0_152-release-1343-b28" }
2019-03-06T16:02:57.884-0500 I NETWORK  [listener] connection accepted from 127.0.0.1:57199 #37 (3 connections now open)
2019-03-06T16:02:57.885-0500 I NETWORK  [conn37] received client metadata from 127.0.0.1:57199 conn37: { driver: { name: "mongo-java-driver", version: "unknown" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "10.14.3" }, platform: "Java/JetBrains s.r.o/1.8.0_152-release-1343-b28" }
2019-03-06T16:02:57.890-0500 I NETWORK  [conn37] end connection 127.0.0.1:57199 (2 connections now open)
2019-03-06T16:02:57.890-0500 I NETWORK  [conn36] end connection 127.0.0.1:57198 (1 connection now open)
2019-03-06T16:05:13.456-0500 I NETWORK  [listener] connection accepted from 127.0.0.1:57206 #38 (2 connections now open)
